36,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0010,SK DURIAN DAUN 'K',MASJID TANAH,MASJID TANAH,78300,063846219,063846219
37,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0011,SK LUBOK REDAN,MASJID TANAH,MASJID TANAH,78300,063877185,063877185
38,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0012,SK JERAM,KAMPUNG JERAM,MASJID TANAH,78300,06 3848073,06 3841943
39,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0013,SK AIR JERNIH,KUALA SUNGAI BARU,KUALA SG BARU,78200,063878311,063878311
40,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0014,SK KAMPUNG TENGAH,BATU 29  KAMPONG TENGAH,"KUALA SUNGAI BARU",78200,063877327,063877327
41,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0015,SK  SUNGAI TUANG,JALAN PERSISIRAN PANTAI,MASJID TANAH,78300,063844576,06-3844576
42,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0016,SK TELOK BEREMBANG,LUBOK CHINA,LUBOK CHINA,78100,066967602,066967602
43,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0017,SK SUNGAI JERNIH,LUBOK CHINA,LUBOK CHINA,78100,066967641,066967641
44,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0018,SK RANTAU PANJANG,RANTAU PANJANG,MASJID TANAH,78300,065528857,065528857
45,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0020,SK PADANG SEBANG,ALOR GAJAH,ALOR GAJAH,78000,065548903,065548903
46,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0021,SK AYER PA' ABAS,AYER PA'ABAS,ALOR GAJAH,78000,065528771,065528771
47,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0022,SK SIMPANG EMPAT,SIMPANG EMPAT,ALOR GAJAH,78000,065528803,065528803
48,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0023,SK PULAU SEBANG,JALAN KEMUS PULAU SEBANG,ALOR GAJAH,78000,06-4419098,064419098
49,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0024,SK MELEKEK,Jalan Kampung Melekek Dalam,ALOR GAJAH,78000,065566436,065566436
50,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0025,SK GANUN,KAMPUNG GANUN,ALOR GAJAH,78000,065548908,065548907
51,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0026,SK PARIT MELANA,DURIAN TUNGGAL,"DURIAN TUNGGAL",76100,065532499,065532499
52,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0027,SK SUNGAI PETAI,KAMPUNG SUNGAI PETAI,ALOR GAJAH,78000,065565786,065565786
53,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0028,SK SUNGAI SIPUT,SUNGAI SIPUT,LUBOK CHINA,78100,066967884,066967884
54,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0029,SK MELAKA PINDAH,KAMPUNG MELAKA PINDAH,ALOR GAJAH,78000,06-5568402,06-5568402
55,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0030,SK PEGOH,KAMPUNG PEGOH,ALOR GAJAH,78000,065568408,065568408
56,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0031,SK BERISU,LUBOK CHINA,LUBOK CHINA,78100,065528934,065528934
57,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0032,SK LENDU,LENDU,ALOR GAJAH,78000,065565906,065565906
58,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0033,SK BELIMBING DALAM,KG BELIMBING DALAM,"DURIAN TUNGGAL",76100,065532498,065532498
59,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0034,SK RUMBIA,"KM 14, LEBUH AMJ, ALOR GAJAH",ALOR GAJAH,78000,063162653,063162653
60,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0035,SK SUNGAI BULOH,KG SUNGAI BULOH,ALOR GAJAH,78000,065528635,065528635
61,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0036,SK CHERANA PUTEH,TABOH NANING,ALOR GAJAH,78000,065528941,065528941
62,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0037,SK TEBONG,"KM. 37, JALAN KUALA SUNGGA, TEBONG",ALOR GAJAH,76460,06-4486693,06-4486693
63,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0038,SK KEMUNING,KAMPUNG KEMUNING,ALOR GAJAH,78000,065549419,065548420
