35,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0016,SK KUALA KUPANG,PEKAN KUPANG,KUPANG,09200,044766755,044769755
36,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0017,SK KUALA PEGANG,SK KUALA PEGANG,BALING,09110,044764888,044764887
37,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0018,SK KUALA KUANG,KUALA KUANG,KUPANG,09200,044727825,TIADA
38,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0019,SK KUALA MERAH,KAMPUNG KUALA MERAH,KUALA KETIL,09300,044163598,044163598
39,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0020,SK KUALA SAMAK,KAMPUNG KUALA SAMAK,KUALA KETIL,09300,044430719,TIADA
40,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0021,SK LANAI,PARIT PANJANG,KUPANG,09200,044761325,044761325
41,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0022,SK PULAI,"PULAI,",BALING,09100,044706301,044706301
42,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0023,SK SIONG,"KAMPONG LALANG, JALAN WENG",BALING,09100,044721258,044732641
43,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0024,SK TANJUNG PARI,KG. TANJUNG PARI,BALING,09100,044722503,044722503
44,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0025,SK TAWAR,JALAN BALING,KUALA KETIL,09310,044765021,044765021
45,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0026,SK TIAK,KAMPUNG TIAK,KUPANG,09200,044765067,044765067
46,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0027,SK TITI GANTONG,JALAN SUNGAI LIMAU,BALING,09100,044708216,044708216
47,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0028,SK RAMBONG PULAI,KG RAMBONG PULAI,KUPANG,09200,044727598,044720026
48,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0029,SK SERI BAYU,"SK SERI BAYU, WENG",BALING,09100,044721131,044721131
49,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0030,SK KUALA KETIL,KUALA KETIL,KUALA KETIL,09300,044163050,044164125
50,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0031,SK SERI JEMERLI,LADANG KUALA KETIL,KUALA KETIL,09300,044430878,TIADA
51,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0032,SK KAMPUNG SELARONG,"KAMPUNG SELARONG, MALAU",KULIM,09010,044720867,044720072
52,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0062,SK TELOK TEDURI,"JALAN KAMPONG TELOK TEDURI,",BALING,09100,044725991,TIADA
53,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0063,SK MALAU,SK MALAU,KULIM,09020,044722863,TIADA
54,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0065,SK PAYA BESAR,KAMPUNG PAYA BESAR,KUALA KETIL,09300,044430437,TIADA
55,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0066,SK BINJUL,BATU 7 BINJUL,KUALA KETIL,09310,044160128,044160128
56,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0067,SK KAMPUNG BANDAR,"MUKIM SIONG,",BALING,09100,044721096,TIADA
57,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0068,SK ULU TAWAR,KAMPUNG ULU TAWAR,KARANGAN,09700,0194428470,TIADA
58,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0069,SK ULU BAKAI,MALAU,KULIM,09020,0194816675,TIADA
59,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0070,SK SEBERANG KETIL,KAMPUNG SEBERANG KETIL,KUPANG,09200,044430472,TIADA
60,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0071,SK BINJUL DALAM,KAMPUNG BINJUL DALAM,KUALA KETIL,09310,044430423,044430423
61,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0072,SK TELOI TIMUR,FELDA TELOI TIMUR,KUALA KETIL,09300,044192987,044192987
62,KEDAH,PPD BALING/SIK,Kebangsaan,KBA0073,SK KAMPONG KEDA,"JALAN KEMAJUAN, PEKAN BARU KEDA",KUPANG,09200,044768786,044768786
63,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8001,SK BATU LIMA,BATU LIMA,SIK,08200,044620372,044620372
64,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8002,SK CHEPIR,KAMPUNG CHEPIR,SIK,08200,044620662,TIADA
65,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8003,SK GULAU,WAKIL POS GULAU,SIK,08210,0195000935,TIADA
66,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8004,SK HUJONG BANDAR,KG. HUJONG BANDAR,SIK,08200,044620318,044622529
67,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8005,SK JENERI,KAMPUNG JENERI,JENIANG,08700,044627354,044627355
68,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8006,SK KG BETONG,JALAN JENERI,JENIANG,08700,044647136,044647136
69,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8007,SK HJ HUSSAIN,"KG TUPAI, MUKIM TELOI",SIK,08200,044620041,TIADA
